订单编号,订单日期,供应商,产品类别,产品名称,数量,单价,总金额,区域,采购员,订单状态
PO-2025-00248,2025-07-23,成都电气元件,电子元器件,集成电路,200,105.3,21060.0,华东,王芳,已完成
PO-2025-00249,2025-09-13,广州包装制品,包装材料,珍珠棉,152,45.62,6934.24,华东,张明,处理中
PO-2025-00250,2025-04-20,杭州精密五金,机械零件,联轴器,477,123.69,59000.13,华中,陈静,处理中
PO-2025-00251,2025-02-07,南京化工材料,原材料,铜线,365,205.76,75102.4,华北,刘强,已完成
PO-2025-00252,2025-12-30,成都电气元件,电子元器件,电容器,470,165.72,77888.4,华东,杨洋,已完成
PO-2025-00253,2025-12-25,深圳精密机械制造,机械零件,导轨,287,67.78,19452.86,华中,王芳,处理中
PO-2025-00254,2025-03-13,重庆办公用品,办公用品,文件夹,416,69.45,28891.2,华南,李华,已取消
PO-2025-00255,2025-10-10,苏州新材料科技,原材料,塑料颗粒,23,79.14,1820.22,西南,杨洋,已完成
PO-2025-00256,2025-09-03,上海自动化设备,电子元器件,继电器,462,20.72,9572.64,华中,赵磊,已取消
PO-2025-00257,2025-06-12,杭州精密五金,机械零件,联轴器,403,91.63,36926.89,西南,李华,已完成
PO-2025-00258,2025-10-10,重庆办公用品,办公用品,A4纸,240,88.17,21160.8,西南,杨洋,已完成
PO-2025-00259,2025-01-29,重庆办公用品,办公用品,笔记本,103,142.34,14661.02,华南,赵磊,已完成
PO-2025-00260,2025-04-26,深圳精密机械制造,机械零件,导轨,88,70.73,6224.24,华南,杨洋,待审批
PO-2025-00261,2025-10-10,广州包装制品,包装材料,封箱胶带,468,51.33,24022.44,华东,陈静,已完成
PO-2025-00262,2025-03-28,北京信达办公,办公用品,文件夹,330,57.65,19024.5,西南,李华,已完成
PO-2025-00263,2025-10-16,南京化工材料,原材料,橡胶,88,42.99,3783.12,西南,杨洋,处理中
PO-2025-00264,2025-10-20,长沙恒达电子科技,电子元器件,电阻器,51,13.87,707.37,西北,陈静,已完成
PO-2025-00265,2025-06-04,武汉工具设备,工具耗材,测量尺,337,10.91,3676.67,西北,陈静,已完成
PO-2025-00266,2025-12-19,成都电气元件,电子元器件,电容器,422,186.8,78829.6,华北,陈静,已完成
PO-2025-00267,2025-03-15,长沙恒达电子科技,电子元器件,电容器,235,86.05,20221.75,华北,刘强,已完成
PO-2025-00268,2025-03-08,广州包装制品,包装材料,珍珠棉,173,125.94,21787.62,东北,杨洋,已取消
PO-2025-00269,2025-08-19,广州包装制品,包装材料,封箱胶带,297,21.85,6489.45,华南,周婷,已完成
PO-2025-00270,2025-03-23,苏州新材料科技,原材料,铝材,59,15.61,920.99,华北,赵磊,已完成
PO-2025-00271,2025-09-21,广州包装制品,包装材料,封箱胶带,379,56.08,21254.32,东北,王芳,已完成
PO-2025-00272,2025-09-16,成都电气元件,电子元器件,传感器,460,74.94,34472.4,华东,李华,待审批
PO-2025-00273,2025-11-02,成都电气元件,电子元器件,电容器,120,136.56,16387.2,华东,张明,已完成
PO-2025-00274,2025-05-16,重庆办公用品,办公用品,订书机,250,55.86,13965.0,华东,李华,已完成
PO-2025-00275,2025-10-15,西安包装材料,包装材料,缠绕膜,401,73.6,29513.6,华东,赵磊,已完成
PO-2025-00276,2025-05-24,苏州新材料科技,原材料,铜线,293,64.34,18851.62,华北,周婷,处理中
PO-2025-00277,2025-06-23,南京化工材料,原材料,硅胶,322,31.55,10159.1,华东,赵磊,已完成
PO-2025-00278,2025-01-24,杭州精密五金,机械零件,螺栓,396,35.78,14168.88,西南,赵磊,已完成
PO-2025-00279,2025-09-21,长沙恒达电子科技,电子元器件,电容器,375,69.94,26227.5,华北,周婷,已完成
PO-2025-00280,2025-06-03,上海自动化设备,电子元器件,集成电路,486,118.32,57503.52,华南,赵磊,已取消
PO-2025-00281,2025-06-03,南京化工材料,原材料,铜线,269,186.5,50168.5,西南,周婷,处理中
PO-2025-00282,2025-12-19,成都电气元件,电子元器件,电阻器,198,80.03,15845.94,华东,赵磊,已完成
PO-2025-00283,2025-10-26,重庆办公用品,办公用品,A4纸,315,89.74,28268.1,西北,刘强,处理中
PO-2025-00284,2025-12-15,成都电气元件,电子元器件,电容器,278,146.81,40813.18,西南,赵磊,已完成
PO-2025-00285,2025-06-10,苏州新材料科技,原材料,钢材,303,199.4,60418.2,华东,刘强,已完成
PO-2025-00286,2025-02-01,武汉工具设备,工具耗材,螺丝刀,221,139.65,30862.65,华北,周婷,待审批
PO-2025-00287,2025-06-10,西安包装材料,包装材料,泡沫,275,39.98,10994.5,华中,周婷,已完成
PO-2025-00288,2025-12-15,上海自动化设备,电子元器件,传感器,477,103.51,49374.27,西南,杨洋,已完成
PO-2025-00289,2025-06-02,重庆办公用品,办公用品,订书机,145,114.05,16537.25,华南,刘强,已完成
PO-2025-00290,2025-06-28,苏州新材料科技,原材料,铜线,404,64.42,26025.68,华南,周婷,已完成
PO-2025-00291,2025-07-22,杭州精密五金,机械零件,弹簧,-150,66.01,9901.5,西南,赵磊,待审批
PO-2025-00292,2025-08-15,广州包装制品,包装材料,泡沫,158,11.22,1772.76,西北,李华,已完成
PO-2025-00293,2025-12-23,重庆办公用品,办公用品,墨盒,392,90.55,35495.6,华南,陈静,待审批
PO-2025-00294,2025-12-09,北京信达办公,办公用品,文件夹,65,112.55,7315.75,西南,刘强,已完成
PO-2025-00295,2025-08-30,杭州精密五金,机械零件,齿轮,336,54.44,18291.84,华东,赵磊,已完成
PO-2025-00296,2025-09-01,深圳精密机械制造,机械零件,弹簧,404,34.99,14135.96,西南,王芳,已完成
PO-2025-00297,2025-01-31,成都电气元件,电子元器件,连接器,112,175.26,19629.12,华中,杨洋,已完成
PO-2025-00298,2025-03-31,深圳精密机械制造,机械零件,弹簧,303,55.31,16758.93,西北,张明,待审批
PO-2025-00299,2025-04-06,武汉工具设备,工具耗材,螺丝刀,488,184.33,89953.04,东北,赵磊,处理中
PO-2025-00300,2025-06-21,西安包装材料,包装材料,缠绕膜,458,10.83,4960.14,华中,李华,待审批
PO-2025-00301,2025-08-28,北京信达办公,办公用品,笔,338,99.85,33749.3,华北,王芳,待审批
PO-2025-00302,2025-04-06,北京信达办公,办公用品,文件夹,424,24.27,10290.48,华南,周婷,已完成
PO-2025-00303,2025-11-24,长沙恒达电子科技,电子元器件,连接器,182,159.2,28974.4,西南,刘强,已完成
PO-2025-00304,2025-03-13,武汉工具设备,工具耗材,焊锡丝,273,68.95,18823.35,华北,李华,已完成
PO-2025-00305,2025-05-17,成都电气元件,电子元器件,集成电路,489,61.37,30009.93,华中,赵磊,已完成
PO-2025-00306,2025-12-21,广州包装制品,包装材料,缠绕膜,308,124.07,38213.56,华东,陈静,已完成
PO-2025-00307,2025-09-15,苏州新材料科技,原材料,钢材,351,29.46,10340.46,华中,王芳,已完成
PO-2025-00308,2025-04-23,西安包装材料,包装材料,缠绕膜,363,24.55,8911.65,华中,杨洋,已完成
PO-2025-00309,2025-10-09,上海自动化设备,电子元器件,传感器,88,89.03,7834.64,西南,杨洋,已完成
PO-2025-00310,2025-11-02,成都电气元件,电子元器件,继电器,420,154.67,64961.4,华南,刘强,已完成
PO-2025-00311,2025-02-27,深圳精密机械制造,机械零件,导轨,238,118.79,28272.02,华中,李华,待审批
PO-2025-00312,2025-09-24,长沙恒达电子科技,电子元器件,继电器,472,103.57,48885.04,西南,王芳,已完成
PO-2025-00313,2025-09-19,成都电气元件,电子元器件,电阻器,358,51.81,18547.98,西南,周婷,已完成
PO-2025-00314,2025-10-14,成都电气元件,电子元器件,电阻器,242,35.34,8552.28,华北,周婷,已完成
PO-2025-00315,2025-01-02,成都电气元件,电子元器件,连接器,423,74.86,31665.78,华东,赵磊,已完成
PO-2025-00316,2025-10-05,西安包装材料,包装材料,泡沫,306,16.93,5180.58,华北,杨洋,处理中
PO-2025-00317,2025-03-11,长沙恒达电子科技,电子元器件,电阻器,488,97.05,47360.4,华中,赵磊,已完成
PO-2025-00318,2025-07-13,重庆办公用品,办公用品,订书机,340,177.5,60350.0,华中,赵磊,已完成
PO-2025-00319,2025-06-28,武汉工具设备,工具耗材,扳手,359,193.01,69290.59,东北,王芳,已完成
PO-2025-00320,2025-01-12,深圳精密机械制造,机械零件,齿轮,285,89.81,25595.85,华南,刘强,处理中
PO-2025-00321,2025-05-07,北京信达办公,办公用品,笔,354,130.7,46267.8,华北,赵磊,处理中
PO-2025-00322,2025-12-05,成都电气元件,电子元器件,集成电路,89,67.56,6012.84,西北,李华,已完成
PO-2025-00323,2025-02-21,武汉工具设备,工具耗材,测量尺,402,187.57,75403.14,华东,刘强,已完成
PO-2025-00324,2025-01-23,南京化工材料,原材料,钢材,238,136.16,32406.08,西北,张明,已完成
PO-2025-00325,2025-05-29,武汉工具设备,工具耗材,焊锡丝,129,110.25,14222.25,东北,张明,已完成
PO-2025-00326,2025-03-15,苏州新材料科技,原材料,硅胶,304,70.55,21447.2,西南,杨洋,已完成
PO-2025-00327,2025-10-30,重庆办公用品,办公用品,笔记本,123,78.79,9691.17,华中,张明,已完成
PO-2025-00328,2025-06-26,西安包装材料,包装材料,泡沫,330,120.87,39887.1,西南,周婷,已完成
PO-2025-00329,2025-06-03,重庆办公用品,办公用品,订书机,205,145.57,29841.85,华中,赵磊,已完成
PO-2025-00330,2025-12-29,武汉工具设备,工具耗材,螺丝刀,396,109.9,43520.4,华南,刘强,已完成
PO-2025-00331,2025-03-10,上海自动化设备,电子元器件,传感器,478,15.42,7370.76,华北,赵磊,已完成
PO-2025-00332,2025-07-09,武汉工具设备,工具耗材,螺丝刀,140,44.65,6251.0,西北,李华,待审批
PO-2025-00333,2025-11-06,深圳精密机械制造,机械零件,导轨,380,183.41,69695.8,华东,陈静,已完成
PO-2025-00334,2025-06-20,南京化工材料,原材料,钢材,457,21.5,9825.5,东北,刘强,已完成
PO-2025-00335,2025-09-03,北京信达办公,办公用品,A4纸,118,168.97,19938.46,西北,李华,处理中
PO-2025-00336,2025-05-25,苏州新材料科技,原材料,硅胶,319,149.35,47642.65,,刘强,已完成
PO-2025-00337,2025-09-12,武汉工具设备,工具耗材,焊锡丝,283,131.5,37214.5,华中,陈静,已完成
PO-2025-00338,2025-07-09,成都电气元件,电子元器件,电阻器,421,225.81,95066.01,华北,杨洋,待审批
PO-2025-00339,2025-10-11,广州包装制品,包装材料,标签纸,33,97.49,3217.17,华南,王芳,已完成
PO-2025-00340,2025-07-14,南京化工材料,原材料,橡胶,378,96.8,36590.4,华南,刘强,已完成
PO-2025-00341,2025-09-08,南京化工材料,原材料,铝材,265,125.86,33352.9,西北,杨洋,已完成
PO-2025-00342,2025-10-07,西安包装材料,包装材料,珍珠棉,388,88.59,34372.92,华南,杨洋,已完成
PO-2025-00343,2025-02-08,成都电气元件,电子元器件,电容器,479,205.19,98286.01,西北,张明,已完成
PO-2025-00344,2025-03-19,重庆办公用品,办公用品,A4纸,401,5.75,2305.75,华南,刘强,已完成
PO-2025-00345,2025-01-09,长沙恒达电子科技,电子元器件,电容器,268,93.92,25170.56,华东,周婷,已完成
PO-2025-00346,2025-05-27,长沙恒达电子科技,电子元器件,继电器,292,85.21,24881.32,华东,陈静,已完成
PO-2025-00347,2025-02-19,长沙恒达电子科技,电子元器件,继电器,426,141.08,60100.08,华北,王芳,已完成
PO-2025-00348,2025-05-17,杭州精密五金,机械零件,齿轮,133,45.82,6094.06,西南,陈静,处理中
PO-2025-00349,2025-04-26,武汉工具设备,工具耗材,扳手,201,192.06,38604.06,华北,刘强,已取消
PO-2025-00350,2025-07-14,北京信达办公,办公用品,订书机,433,153.3,66378.9,西北,张明,已完成
PO-2025-00351,2025-08-11,武汉工具设备,工具耗材,测量尺,253,15.94,4032.82,华东,王芳,已完成
PO-2025-00352,2025-12-21,重庆办公用品,办公用品,墨盒,299,179.93,53799.07,华东,张明,已完成
PO-2025-00353,2025-10-16,南京化工材料,原材料,塑料颗粒,148,15.77,2333.96,华东,陈静,待审批
PO-2025-00354,2025-10-28,重庆办公用品,办公用品,A4纸,101,171.22,17293.22,华中,张明,已取消
PO-2025-00355,2025-05-04,上海自动化设备,电子元器件,连接器,430,78.53,33767.9,华东,陈静,已完成
PO-2025-00356,2025-03-13,南京化工材料,原材料,塑料颗粒,356,201.4,71698.4,华中,赵磊,处理中
PO-2025-00357,2025-04-29,西安包装材料,包装材料,珍珠棉,50,90.34,4517.0,华中,张明,已完成
PO-2025-00358,2025-06-17,深圳精密机械制造,机械零件,螺栓,319,170.45,54373.55,西南,赵磊,已取消
PO-2025-00359,2025-10-11,长沙恒达电子科技,电子元器件,连接器,149,157.79,23510.71,华北,周婷,已完成
PO-2025-00360,2025-11-13,武汉工具设备,工具耗材,焊锡丝,105,137.54,14441.7,西北,赵磊,已完成
PO-2025-00361,2025-11-21,北京信达办公,办公用品,文件夹,375,17.4,6525.0,华中,王芳,已完成
PO-2025-00362,2025-06-07,上海自动化设备,电子元器件,连接器,209,63.41,13252.69,华东,李华,已完成
PO-2025-00363,2025-08-18,成都电气元件,电子元器件,集成电路,399,66.25,26433.75,华南,李华,已完成
PO-2025-00364,2025-02-17,杭州精密五金,机械零件,导轨,272,91.33,24841.76,华东,李华,已完成
PO-2025-00365,2025-07-18,南京化工材料,原材料,橡胶,411,76.46,31425.06,华北,张明,已完成
PO-2025-00366,2025-03-28,深圳精密机械制造,机械零件,弹簧,471,125.52,59119.92,华南,王芳,已完成
PO-2025-00367,2025-05-22,上海自动化设备,电子元器件,集成电路,164,54.47,8933.08,华南,李华,已完成
PO-2025-00368,2025-11-17,武汉工具设备,工具耗材,电钻头,257,157.62,40508.34,华中,陈静,待审批
PO-2025-00369,2025-07-22,成都电气元件,电子元器件,继电器,325,49.6,16120.0,华东,王芳,已完成
PO-2025-00370,2025-11-30,广州包装制品,包装材料,封箱胶带,204,137.53,28056.12,华中,周婷,已完成
PO-2025-00371,2025-04-01,南京化工材料,原材料,铝材,163,75.63,12327.69,西北,刘强,已完成
PO-2025-00372,2025-05-05,武汉工具设备,工具耗材,电钻头,159,148.3,23579.7,西北,周婷,已取消
PO-2025-00373,2025-10-16,广州包装制品,包装材料,标签纸,153,139.58,21355.74,华北,杨洋,已完成
PO-2025-00374,2025-08-25,苏州新材料科技,原材料,橡胶,289,42.09,12164.01,东北,张明,已取消
PO-2025-00375,2025-07-29,西安包装材料,包装材料,泡沫,234,141.28,33059.52,东北,李华,处理中
PO-2025-00376,2025-08-05,重庆办公用品,办公用品,笔,81,118.22,9575.82,华南,陈静,已完成
PO-2025-00377,2025-12-21,武汉工具设备,工具耗材,扳手,239,198.19,47367.41,华北,赵磊,已完成
PO-2025-00378,2025-05-08,武汉工具设备,工具耗材,测量尺,28,159.19,4457.32,华中,李华,已完成
PO-2025-00379,2025-11-27,重庆办公用品,办公用品,订书机,191,34.44,6578.04,西南,张明,已完成
PO-2025-00380,2025-02-20,重庆办公用品,办公用品,订书机,214,178.05,38102.7,华中,赵磊,已完成
PO-2025-00381,2025-07-20,北京信达办公,办公用品,文件夹,271,135.57,36739.47,西南,刘强,已完成
PO-2025-00382,2025-09-05,成都电气元件,电子元器件,连接器,311,160.58,49940.38,华南,杨洋,已取消
PO-2025-00383,2025-03-14,深圳精密机械制造,机械零件,螺栓,222,202.96,45057.12,华东,李华,处理中
PO-2025-00384,2025-02-19,广州包装制品,包装材料,缠绕膜,185,79.72,14748.2,华南,周婷,已完成
PO-2025-00385,2025-12-30,成都电气元件,电子元器件,连接器,366,107.21,39238.86,华东,陈静,已完成
PO-2025-00386,2025-05-05,深圳精密机械制造,机械零件,轴承,444,79.09,35115.96,华东,王芳,待审批
PO-2025-00387,2025-04-29,杭州精密五金,机械零件,齿轮,292,39.12,11423.04,西南,赵磊,已取消
PO-2025-00388,2025-11-11,武汉工具设备,工具耗材,切割片,104,41.35,4300.4,西北,赵磊,已完成
PO-2025-00389,2025-12-27,苏州新材料科技,原材料,塑料颗粒,313,93.2,29171.6,华东,刘强,已完成
PO-2025-00390,2025-04-11,深圳精密机械制造,机械零件,导轨,62,176.99,10973.38,西南,王芳,已完成
PO-2025-00391,2025-11-09,成都电气元件,电子元器件,电阻器,144,156.15,22485.6,华北,杨洋,已完成
PO-2025-00392,2025-12-11,武汉工具设备,工具耗材,测量尺,68,72.85,4953.8,东北,周婷,已完成
PO-2025-00393,2025-05-03,西安包装材料,包装材料,缠绕膜,480,109.85,52728.0,华东,王芳,已完成
PO-2025-00394,2025-03-12,北京信达办公,办公用品,A4纸,103,70.02,7212.06,华南,赵磊,已完成
PO-2025-00395,2025-09-08,南京化工材料,原材料,塑料颗粒,-226,46.17,10434.42,西北,王芳,已完成
PO-2025-00396,2025-01-05,北京信达办公,办公用品,文件夹,105,59.71,6269.55,华北,张明,待审批
PO-2025-00397,2025-09-09,成都电气元件,电子元器件,电容器,109,188.56,20553.04,西南,周婷,已完成
PO-2025-00398,2025-04-23,武汉工具设备,工具耗材,切割片,440,91.55,40282.0,华南,李华,已完成
PO-2025-00399,2025-10-17,北京信达办公,办公用品,A4纸,150,43.96,6594.0,华中,王芳,处理中
PO-2025-00400,2025-10-06,西安包装材料,包装材料,标签纸,291,92.05,26786.55,西南,李华,已完成
PO-2025-00401,2025-08-06,广州包装制品,包装材料,封箱胶带,431,129.69,55896.39,东北,周婷,已完成
PO-2025-00402,2025-01-17,深圳精密机械制造,机械零件,弹簧,434,145.71,63238.14,华南,陈静,待审批
PO-2025-00403,2025-03-02,成都电气元件,电子元器件,集成电路,188,199.1,37430.8,华东,周婷,待审批
PO-2025-00404,2025-11-09,苏州新材料科技,原材料,铝材,425,156.28,66419.0,西北,杨洋,待审批
PO-2025-00405,2025-01-31,重庆办公用品,办公用品,笔,94,115.14,10823.16,东北,刘强,处理中
PO-2025-00406,2025-12-27,南京化工材料,原材料,铜线,282,66.99,18891.18,西南,王芳,已完成
PO-2025-00407,2025-07-30,北京信达办公,办公用品,墨盒,303,51.42,15580.26,东北,李华,已完成
PO-2025-00408,2025-12-31,长沙恒达电子科技,电子元器件,集成电路,453,132.9,60203.7,西北,王芳,已完成
PO-2025-00409,2025-11-20,广州包装制品,包装材料,泡沫,399,144.07,57483.93,华北,周婷,已完成
PO-2025-00410,2025-05-23,北京信达办公,办公用品,订书机,222,70.34,15615.48,华东,李华,已完成
PO-2025-00411,2025-02-17,西安包装材料,包装材料,缠绕膜,242,167.46,40525.32,华中,张明,待审批
PO-2025-00412,2025-07-23,西安包装材料,包装材料,标签纸,335,118.37,39653.95,华中,李华,处理中
PO-2025-00413,2025-06-22,苏州新材料科技,原材料,塑料颗粒,432,48.63,21008.16,华中,杨洋,处理中
PO-2025-00414,2025-01-25,杭州精密五金,机械零件,导轨,76,124.63,9471.88,华北,杨洋,待审批
PO-2025-00415,2025-03-22,长沙恒达电子科技,电子元器件,电阻器,330,157.86,52093.8,华北,张明,已完成
PO-2025-00416,2025-03-09,成都电气元件,电子元器件,传感器,10,228.17,2281.7,华北,刘强,已取消
PO-2025-00417,2025-05-09,重庆办公用品,办公用品,墨盒,91,161.47,14693.77,华中,李华,已完成
PO-2025-00418,2025-06-06,深圳精密机械制造,机械零件,螺栓,350,199.37,69779.5,华南,张明,已完成
PO-2025-00419,2025-01-01,西安包装材料,包装材料,珍珠棉,396,44.58,17653.68,西北,李华,处理中
PO-2025-00420,2025-12-23,苏州新材料科技,原材料,塑料颗粒,49,32.42,1588.58,华南,周婷,已完成
PO-2025-00421,2025-07-16,广州包装制品,包装材料,纸箱,450,74.25,33412.5,华南,周婷,已完成
PO-2025-00422,2025-03-12,深圳精密机械制造,机械零件,弹簧,422,27.47,11592.34,华中,杨洋,待审批
PO-2025-00423,2025-01-05,武汉工具设备,工具耗材,螺丝刀,338,198.62,67133.56,华南,李华,已完成
PO-2025-00424,2025-03-19,南京化工材料,原材料,硅胶,94,101.72,9561.68,西北,刘强,已完成
PO-2025-00425,2025-03-13,武汉工具设备,工具耗材,测量尺,361,91.26,32944.86,华南,李华,待审批
PO-2025-00426,2025-05-07,深圳精密机械制造,机械零件,导轨,383,87.87,33654.21,华北,杨洋,处理中
PO-2025-00427,2025-12-20,北京信达办公,办公用品,订书机,53,48.05,2546.65,西南,陈静,处理中
PO-2025-00428,2025-06-01,长沙恒达电子科技,电子元器件,连接器,458,63.82,29229.56,西南,刘强,处理中
PO-2025-00429,2025-05-04,重庆办公用品,办公用品,A4纸,411,165.69,68098.59,华南,周婷,已完成
PO-2025-00430,2025-03-09,成都电气元件,电子元器件,连接器,314,21.67,6804.38,华东,杨洋,待审批
PO-2025-00431,2025-02-07,武汉工具设备,工具耗材,测量尺,225,76.26,17158.5,西北,王芳,处理中
PO-2025-00432,2025-07-23,长沙恒达电子科技,电子元器件,继电器,44,7.69,338.36,华南,张明,待审批
PO-2025-00433,2025-07-25,杭州精密五金,机械零件,螺栓,331,155.48,51463.88,东北,赵磊,已完成
PO-2025-00434,2025-02-10,深圳精密机械制造,机械零件,弹簧,284,120.83,34315.72,华南,陈静,已完成
PO-2025-00435,2025-11-29,杭州精密五金,机械零件,齿轮,423,38.12,16124.76,华中,赵磊,已完成
PO-2025-00436,2025-02-14,重庆办公用品,办公用品,订书机,43,60.24,2590.32,华北,刘强,已完成
PO-2025-00437,2025-12-03,武汉工具设备,工具耗材,扳手,242,124.4,30104.8,华东,陈静,已完成
PO-2025-00438,2025-06-27,西安包装材料,包装材料,泡沫,71,6.57,466.47,华南,张明,已完成
PO-2025-00439,2025-05-18,杭州精密五金,机械零件,导轨,410,178.62,73234.2,华中,王芳,已完成
PO-2025-00440,2025-02-02,西安包装材料,包装材料,纸箱,404,158.82,64163.28,华中,赵磊,已完成
PO-2025-00441,2025-01-29,北京信达办公,办公用品,订书机,305,114.63,34962.15,华北,周婷,已完成
PO-2025-00442,2025-12-12,成都电气元件,电子元器件,继电器,95,88.2,8379.0,华中,李华,待审批
PO-2025-00443,2025-01-07,西安包装材料,包装材料,纸箱,126,131.52,16571.52,华东,张明,待审批
PO-2025-00444,2025-01-19,苏州新材料科技,原材料,钢材,251,79.77,20022.27,华南,王芳,待审批
PO-2025-00445,2025-06-13,杭州精密五金,机械零件,弹簧,389,143.49,55817.61,华南,杨洋,已完成
PO-2025-00446,2025-09-22,北京信达办公,办公用品,A4纸,302,69.93,21118.86,西南,张明,已完成
PO-2025-00447,2025-06-09,长沙恒达电子科技,电子元器件,传感器,45,176.01,7920.45,东北,陈静,处理中
PO-2025-00448,2025-06-05,广州包装制品,包装材料,纸箱,293,79.96,23428.28,华中,刘强,已完成
PO-2025-00449,2025-04-11,西安包装材料,包装材料,封箱胶带,134,84.01,11257.34,西南,周婷,已取消
PO-2025-00450,2025-01-13,西安包装材料,包装材料,封箱胶带,399,140.99,56255.01,华南,张明,待审批
PO-2025-00451,2025-01-01,苏州新材料科技,原材料,橡胶,187,135.46,25331.02,西北,张明,已取消
PO-2025-00452,2025-05-02,重庆办公用品,办公用品,笔,444,137.01,60832.44,华中,李华,已完成
PO-2025-00453,2025-04-29,武汉工具设备,工具耗材,焊锡丝,40,194.65,7786.0,华南,陈静,已完成
PO-2025-00454,2025-09-16,杭州精密五金,机械零件,联轴器,368,194.01,71395.68,华北,李华,已完成
PO-2025-00455,2025-03-08,上海自动化设备,电子元器件,连接器,429,77.8,33376.2,西南,张明,已完成
PO-2025-00456,2025-06-17,苏州新材料科技,原材料,铜线,143,179.47,25664.21,东北,赵磊,处理中
PO-2025-00457,2025-10-27,广州包装制品,包装材料,标签纸,149,42.97,6402.53,华南,王芳,处理中
PO-2025-00458,2025-10-02,深圳精密机械制造,机械零件,齿轮,64,40.76,2608.64,华北,杨洋,已完成
PO-2025-00459,2025-12-18,广州包装制品,包装材料,泡沫,241,55.35,13339.35,华中,李华,已完成
PO-2025-00460,2025-12-31,北京信达办公,办公用品,订书机,366,110.38,40399.08,华南,杨洋,已完成
PO-2025-00461,2025-03-31,苏州新材料科技,原材料,铜线,212,110.38,23400.56,西北,陈静,已完成
PO-2025-00462,2025-02-22,长沙恒达电子科技,电子元器件,传感器,447,93.18,41651.46,西北,刘强,已完成
PO-2025-00463,2025-07-25,上海自动化设备,电子元器件,电阻器,16,16.17,258.72,东北,刘强,已完成
PO-2025-00464,2025-02-08,广州包装制品,包装材料,珍珠棉,332,159.65,53003.8,华东,陈静,待审批
PO-2025-00465,2025-06-19,长沙恒达电子科技,电子元器件,电阻器,111,180.99,20089.89,华北,王芳,已完成
PO-2025-00466,2025-07-22,深圳精密机械制造,机械零件,轴承,492,104.38,51354.96,华南,赵磊,处理中
PO-2025-00467,2025-04-06,成都电气元件,电子元器件,电阻器,205,158.96,32586.8,华南,杨洋,已完成
PO-2025-00468,2025-09-13,北京信达办公,办公用品,墨盒,238,159.54,37970.52,华东,刘强,已完成
PO-2025-00469,2025-04-13,武汉工具设备,工具耗材,测量尺,255,16.89,4306.95,华中,赵磊,已完成
PO-2025-00470,2025-07-03,重庆办公用品,办公用品,笔记本,137,117.76,16133.12,东北,张明,已取消
PO-2025-00471,2025-04-03,成都电气元件,电子元器件,继电器,410,114.44,46920.4,西南,杨洋,已完成
PO-2025-00472,2025-08-30,长沙恒达电子科技,电子元器件,集成电路,315,47.71,15028.65,东北,陈静,已完成
PO-2025-00473,2025-12-03,杭州精密五金,机械零件,螺栓,402,128.39,51612.78,华南,王芳,已完成
PO-2025-00474,2025-04-23,苏州新材料科技,原材料,铜线,283,172.38,48783.54,西北,张明,处理中
PO-2025-00475,2025-10-31,南京化工材料,原材料,塑料颗粒,191,209.85,40081.35,东北,王芳,已完成
PO-2025-00476,2025-06-30,广州包装制品,包装材料,珍珠棉,367,63.72,23385.24,西南,张明,处理中
PO-2025-00477,2025-03-31,南京化工材料,原材料,橡胶,82,128.58,10543.56,华南,周婷,已完成
PO-2025-00478,2025-09-02,成都电气元件,电子元器件,电阻器,56,18.35,1027.6,西南,刘强,已完成
PO-2025-00479,2025-04-01,长沙恒达电子科技,电子元器件,集成电路,479,124.76,59760.04,东北,王芳,已完成
PO-2025-00480,2025-09-27,广州包装制品,包装材料,纸箱,21,28.73,603.33,西北,王芳,处理中
PO-2025-00481,2025-06-22,广州包装制品,包装材料,纸箱,201,121.03,24327.03,西北,赵磊,已完成
PO-2025-00482,2025-09-07,北京信达办公,办公用品,墨盒,79,175.76,13885.04,西北,赵磊,处理中
PO-2025-00483,2025-10-29,重庆办公用品,办公用品,墨盒,99,131.47,13015.53,西南,杨洋,已完成
PO-2025-00484,2025-01-01,上海自动化设备,电子元器件,传感器,167,140.72,23500.24,华中,王芳,已完成
PO-2025-00485,2025-06-12,西安包装材料,包装材料,封箱胶带,210,150.39,31581.9,东北,张明,已完成
PO-2025-00486,2025-02-09,南京化工材料,原材料,铝材,337,129.12,43513.44,华北,王芳,已完成
PO-2025-00487,2025-05-16,苏州新材料科技,原材料,铜线,173,39.62,6854.26,华东,杨洋,已完成
PO-2025-00488,2025-01-25,苏州新材料科技,原材料,铝材,364,19.13,6963.32,华中,李华,处理中
PO-2025-00489,2025-07-13,武汉工具设备,工具耗材,焊锡丝,385,86.83,33429.55,华南,赵磊,已完成
PO-2025-00490,2025-02-07,广州包装制品,包装材料,封箱胶带,202,21.06,4254.12,华北,刘强,已完成
PO-2025-00491,2025-07-12,长沙恒达电子科技,电子元器件,集成电路,20,67.15,1343.0,华东,李华,已完成
PO-2025-00492,2025-11-11,上海自动化设备,电子元器件,连接器,48,106.09,5092.32,华东,杨洋,已完成
PO-2025-00493,2025-08-11,成都电气元件,电子元器件,连接器,25,102.47,2561.75,西北,王芳,已完成
PO-2025-00494,2025-10-04,上海自动化设备,电子元器件,电阻器,61,66.09,4031.49,华南,赵磊,已完成
PO-2025-00495,2025-10-09,北京信达办公,办公用品,订书机,154,56.69,8730.26,华东,张明,已完成
